Model ID,Train MSE,Test MSE,Train Accuracy,Test Accuracy
model_0,1.556639667897975e-06,0.0003304249353783833
model_1,2.492632502411384e-08,4.409395916727394e-05
model_2,1.3652993472337556e-06,3.220144425328975e-05
model_3,3.4484409904061976e-08,1.099226759465655e-06
model_4,5.470283667450138e-10,0.00046424010022438585
model_5,1.6831797587066136e-06,2.7062392136813827e-05
model_6,4.0463127354401544e-07,8.723168107467773e-05
model_7,5.917336339469615e-07,1.254098010160526e-05
model_8,1.3354730223251368e-11,0.0006276187921384401
model_9,1.1657674190651343e-07,9.408657514269792e-05
model_10,5.048240903820161e-09,3.6919729515953056e-06
model_11,8.810619826103555e-07,4.348502183477826e-05
model_12,4.0563530489041335e-08,4.195158246101866e-07
model_13,1.1245012190603194e-06,7.604658709343646e-05
model_14,2.3798927254990457e-10,2.09278121557036e-05
model_15,9.509688344804794e-07,2.8604532541006995e-05
model_16,5.01983898302668e-07,8.252433643010357e-05
model_17,1.2387185736997157e-08,0.00023195083721101043
model_18,1.1294914258093308e-08,0.00026453279173397286
model_19,6.186261866004246e-08,1.3723910207338744e-06
model_20,2.153985295419155e-07,1.0348608118107096e-08
model_21,2.3437918003377843e-07,0.00018634289483173617
model_22,1.0324857034779111e-07,1.368830744182976e-07
model_23,1.0563575662455819e-07,9.051132135782898e-05
model_24,4.933075981974909e-08,5.4002730955397646e-05
model_25,5.016611085644014e-08,0.0001484157693202204
model_26,1.6014177138412695e-07,8.085757611163939e-07
model_27,2.438807716895102e-06,0.00018296025407654618
model_28,1.1891763396767562e-10,5.3243103605914014e-05
model_29,6.669188403330277e-06,2.0796243665875474e-06
model_30,2.142960453288463e-06,3.31254717475585e-05
model_31,7.413542065198121e-08,8.69697051170246e-05
model_32,6.788272998883564e-07,4.378871345239918e-05
model_33,9.079200800191061e-07,7.383117073820933e-05
model_34,1.9507467608404955e-07,0.00023838505717608743
model_35,5.9725095380367366e-09,3.897400391871458e-05
model_36,1.9548278404911736e-08,9.516084398328317e-05
model_37,1.4028697854806634e-06,3.140886657001224e-05
model_38,2.7877989053629414e-08,0.00016218549750344192
model_39,4.4460863636325144e-07,0.00017876653980029966 
model_40,2.913002239192596e-07,9.29261993494083e-06
model_41,0.0001191265314045558,7.789623522735245e-05
model_42,9.138202843587941e-06,0.00020216818857511637
model_43,6.778644721009404e-08,0.00012532415689774104
model_44,6.444835563165257e-08,6.065588333830487e-06
model_45,8.220788305134408e-09,0.00017578931697854002
model_46,8.892745623228101e-07,0.00022134870549181548
model_47,9.711119509508814e-07,5.5004223368415836e-05
model_48,6.086321051114674e-07,2.8835915173155666e-05
model_49,2.9984584904473055e-09,0.00020868579153871122
model_50,1.4425357638954188e-06,6.277933047681075e-09
model_51,3.734692237658752e-06,6.428171063026934e-05
model_52,7.286156248739705e-07,3.575813639914692e-08
model_53,1.7624681065448682e-08,8.797617234859482e-06
model_54,2.171950146512229e-08,9.277454330939258e-05
model_55,8.791301225410155e-08,7.420194467126625e-06
model_56,1.1172465013405099e-07,3.299747869367079e-05
model_57,2.6900907295072753e-09,3.582734669522125e-05
model_58,3.0226429342357584e-07,2.0963993813820137e-05
model_59,2.6745978687595197e-06,2.2010988830379162e-05
model_60,0.0,0.0,100.0,96.49122807017544
model_61,0.0,7.694675284702985e-05,100.0,97.36842105263158
model_62,4.830334500664171e-06,7.694675284702985e-05,99.78021978021978,97.36842105263158
model_63,0.0,0.0,100.0,96.49122807017544
model_64,0.0,7.694675284702985e-05,100.0,99.12280701754386
model_65,4.830334500664171e-06,7.694675284702985e-05,99.78021978021978,97.36842105263158
model_66,4.830334500664171e-06,7.694675284702985e-05,99.78021978021978,97.36842105263158
model_67,4.347301050597754e-05,7.694675284702985e-05,99.34065934065934,97.36842105263158
model_68,0.0,0.0,100.0,96.49122807017544
model_69,0.0,0.0003077870113881194,100.0,96.49122807017544
model_70,0.0,0.0003077870113881194,100.0,98.24561403508771
model_71,0.0,7.694675284702985e-05,100.0,97.36842105263158
model_72,0.0,7.694675284702985e-05,100.0,97.36842105263158
model_73,4.830334500664171e-06,7.694675284702985e-05,99.78021978021978,97.36842105263158
model_74,4.347301050597754e-05,7.694675284702985e-05,99.34065934065934,97.36842105263158
model_75,1.9321338002656683e-05,7.694675284702985e-05,99.56043956043956,99.12280701754386
model_76,0.0,7.694675284702985e-05,100.0,99.12280701754386
model_77,4.830334500664171e-06,7.694675284702985e-05,99.78021978021978,97.36842105263158
model_78,0.0,0.0003077870113881194,100.0,98.24561403508771
model_79,0.0,0.0003077870113881194,100.0,98.24561403508771
